,Trial,Frame,Rater,Label
190,P01T04,223,Rater2,Chest
191,P01T04,223,Rater3,Chest
192,P01T04,224,Algorithm,Chest
193,P01T04,224,Rater1,Chest
194,P01T04,224,Rater2,Chest
195,P01T04,224,Rater3,Chest
196,P01T04,225,Algorithm,Chest
197,P01T04,225,Rater1,Chest
198,P01T04,225,Rater2,Chest
199,P01T04,225,Rater3,Chest
200,P01T04,226,Algorithm,Chest
201,P01T04,226,Rater1,Chest
202,P01T04,226,Rater2,Chest
203,P01T04,226,Rater3,Chest
204,P01T04,227,Algorithm,Chest
205,P01T04,227,Rater1,Chest
206,P01T04,227,Rater2,Chest
207,P01T04,227,Rater3,Chest
208,P01T04,228,Algorithm,Chest
209,P01T04,228,Rater1,Chest
210,P01T04,228,Rater2,Chest
211,P01T04,228,Rater3,Chest
212,P01T04,229,Algorithm,Chest
213,P01T04,229,Rater1,Chest
214,P01T04,229,Rater2,Chest
215,P01T04,229,Rater3,Chest
216,P01T04,230,Algorithm,Chest
217,P01T04,230,Rater1,Chest
218,P01T04,230,Rater2,Chest
219,P01T04,230,Rater3,Chest
220,P01T04,231,Algorithm,Chest
221,P01T04,231,Rater1,Chest
222,P01T04,231,Rater2,Chest
223,P01T04,231,Rater3,Chest
224,P01T04,232,Algorithm,Chest
225,P01T04,232,Rater1,Chest
226,P01T04,232,Rater2,Chest
227,P01T04,232,Rater3,Chest
228,P01T04,233,Algorithm,Chest
229,P01T04,233,Rater1,Chest
230,P01T04,233,Rater2,Chest
231,P01T04,233,Rater3,Chest
232,P01T04,234,Algorithm,Chest
233,P01T04,234,Rater1,Chest
234,P01T04,234,Rater2,Chest
235,P01T04,234,Rater3,Chest
236,P01T04,235,Algorithm,Chest
237,P01T04,235,Rater1,Chest
238,P01T04,235,Rater2,Chest
239,P01T04,235,Rater3,Chest
240,P01T04,236,Algorithm,Chest
241,P01T04,236,Rater1,Chest
242,P01T04,236,Rater2,Chest
243,P01T04,236,Rater3,Chest
244,P01T04,237,Algorithm,Chest
245,P01T04,237,Rater1,Chest
246,P01T04,237,Rater2,Chest
247,P01T04,237,Rater3,Chest
248,P01T04,238,Algorithm,Chest
249,P01T04,238,Rater1,Chest
250,P01T04,238,Rater2,Chest
251,P01T04,238,Rater3,Chest
252,P01T16,147,Algorithm,Head
253,P01T16,147,Rater1,Chest
254,P01T16,147,Rater2,Chest
255,P01T16,147,Rater3,Head
256,P01T16,148,Algorithm,Head
257,P01T16,148,Rater1,Chest
258,P01T16,148,Rater2,Chest
259,P01T16,148,Rater3,Head
260,P01T16,149,Algorithm,Head
261,P01T16,149,Rater1,Chest
262,P01T16,149,Rater2,Chest
263,P01T16,149,Rater3,Head
264,P01T16,158,Algorithm,Head
265,P01T16,158,Rater1,Chest
266,P01T16,158,Rater2,Chest
267,P01T16,158,Rater3,Chest
268,P01T16,159,Algorithm,Head
269,P01T16,159,Rater1,Chest
270,P01T16,159,Rater2,Chest
271,P01T16,159,Rater3,Chest
272,P01T16,160,Algorithm,Head
273,P01T16,160,Rater1,Chest
274,P01T16,160,Rater2,Chest
275,P01T16,160,Rater3,Chest
276,P01T16,161,Algorithm,Head
277,P01T16,161,Rater1,Chest
278,P01T16,161,Rater2,Chest
279,P01T16,161,Rater3,Chest
280,P01T16,162,Algorithm,Chest
281,P01T16,162,Rater1,Chest
282,P01T16,162,Rater2,Chest
283,P01T16,162,Rater3,Chest
284,P01T16,163,Algorithm,Chest
285,P01T16,163,Rater1,Chest
286,P01T16,163,Rater2,Chest
287,P01T16,163,Rater3,Chest
288,P01T16,164,Algorithm,Chest
289,P01T16,164,Rater1,Chest
290,P01T16,164,Rater2,Chest
291,P01T16,164,Rater3,Chest
292,P01T16,165,Algorithm,Chest
293,P01T16,165,Rater1,Chest
294,P01T16,165,Rater2,Chest
295,P01T16,165,Rater3,Chest
296,P01T16,166,Algorithm,Chest
297,P01T16,166,Rater1,Chest
298,P01T16,166,Rater2,Chest
299,P01T16,166,Rater3,Chest
300,P01T16,169,Algorithm,Chest
301,P01T16,169,Rater1,Chest
302,P01T16,169,Rater2,Chest
303,P01T16,169,Rater3,Chest
304,P01T16,170,Algorithm,Chest
305,P01T16,170,Rater1,Chest
306,P01T16,170,Rater2,Chest
307,P01T16,170,Rater3,Chest
308,P01T16,171,Algorithm,Chest
309,P01T16,171,Rater1,Chest
310,P01T16,171,Rater2,Chest
311,P01T16,171,Rater3,Chest
312,P01T16,172,Algorithm,Chest
313,P01T16,172,Rater1,Chest
314,P01T16,172,Rater2,Chest
315,P01T16,172,Rater3,Chest
316,P01T16,173,Algorithm,Chest
317,P01T16,173,Rater1,Chest
318,P01T16,173,Rater2,Chest
319,P01T16,173,Rater3,Chest
320,P01T16,174,Algorithm,Chest
321,P01T16,174,Rater1,Chest
322,P01T16,174,Rater2,Chest
323,P01T16,174,Rater3,Chest
324,P01T16,178,Algorithm,Chest
325,P01T16,178,Rater1,Chest
326,P01T16,178,Rater2,Right arm
327,P01T16,178,Rater3,Right arm
328,P01T16,179,Algorithm,Chest
329,P01T16,179,Rater1,Chest
330,P01T16,179,Rater2,Right arm
331,P01T16,179,Rater3,Chest
332,P01T16,180,Algorithm,Chest
333,P01T16,180,Rater1,Chest
334,P01T16,180,Rater2,Right arm
335,P01T16,180,Rater3,Chest
336,P01T16,181,Algorithm,Chest
337,P01T16,181,Rater1,Chest
338,P01T16,181,Rater2,Chest
339,P01T16,181,Rater3,Chest
340,P01T16,182,Algorithm,Chest
341,P01T16,182,Rater1,Chest
342,P01T16,182,Rater2,Chest
343,P01T16,182,Rater3,Chest
344,P01T16,183,Algorithm,Chest
345,P01T16,183,Rater1,Chest
346,P01T16,183,Rater2,Chest
347,P01T16,183,Rater3,Chest
348,P01T16,184,Algorithm,Chest
349,P01T16,184,Rater1,Chest
350,P01T16,184,Rater2,Chest
351,P01T16,184,Rater3,Chest
352,P01T16,185,Algorithm,Chest
353,P01T16,185,Rater1,Chest
354,P01T16,185,Rater2,Chest
355,P01T16,185,Rater3,Chest
356,P01T16,186,Algorithm,Chest
357,P01T16,186,Rater1,Chest
358,P01T16,186,Rater2,Chest
359,P01T16,186,Rater3,Chest
360,P01T16,187,Algorithm,Chest
361,P01T16,187,Rater1,Chest
362,P01T16,187,Rater2,Chest
363,P01T16,187,Rater3,Chest
364,P01T16,188,Algorithm,Chest
365,P01T16,188,Rater1,Chest
366,P01T16,188,Rater2,Chest
367,P01T16,188,Rater3,Chest
368,P01T16,189,Algorithm,Chest
369,P01T16,189,Rater1,Chest
370,P01T16,189,Rater2,Chest
371,P01T16,189,Rater3,Chest
372,P01T16,190,Algorithm,Chest
373,P01T16,190,Rater1,Chest
374,P01T16,190,Rater2,Chest
375,P01T16,190,Rater3,Chest
376,P01T16,191,Algorithm,Chest
377,P01T16,191,Rater1,Chest
378,P01T16,191,Rater2,Chest
379,P01T16,191,Rater3,Chest
380,P01T16,192,Algorithm,Chest
381,P01T16,192,Rater1,Chest
382,P01T16,192,Rater2,Chest
383,P01T16,192,Rater3,Chest
384,P01T16,193,Algorithm,Chest
385,P01T16,193,Rater1,Chest
386,P01T16,193,Rater2,Chest
387,P01T16,193,Rater3,Chest
388,P01T16,194,Algorithm,Chest
389,P01T16,194,Rater1,Chest
390,P01T16,194,Rater2,Chest
391,P01T16,194,Rater3,Chest
392,P01T16,195,Algorithm,Chest
393,P01T16,195,Rater1,Chest
394,P01T16,195,Rater2,Chest
395,P01T16,195,Rater3,Chest
396,P01T16,196,Algorithm,Chest
397,P01T16,196,Rater1,Chest
398,P01T16,196,Rater2,Chest
399,P01T16,196,Rater3,Chest
400,P01T16,197,Algorithm,Chest
401,P01T16,197,Rater1,Chest
402,P01T16,197,Rater2,Chest
403,P01T16,197,Rater3,Chest
404,P01T18,113,Algorithm,Head
405,P01T18,113,Rater1,Head
406,P01T18,113,Rater2,Head
407,P01T18,113,Rater3,Head
408,P01T18,114,Algorithm,Chest
409,P01T18,114,Rater1,Head
410,P01T18,114,Rater2,Head
411,P01T18,114,Rater3,Head
412,P01T18,115,Algorithm,Chest
413,P01T18,115,Rater1,Head
414,P01T18,115,Rater2,Head
415,P01T18,115,Rater3,Head
416,P01T18,116,Algorithm,Head
417,P01T18,116,Rater1,Head
418,P01T18,116,Rater2,Head
419,P01T18,116,Rater3,Head
420,P01T18,117,Algorithm,Head
421,P01T18,117,Rater1,Head
422,P01T18,117,Rater2,Head
423,P01T18,117,Rater3,Head
424,P01T18,118,Algorithm,Head
425,P01T18,118,Rater1,Head
426,P01T18,118,Rater2,Head
427,P01T18,118,Rater3,Head
428,P01T18,119,Algorithm,Head
429,P01T18,119,Rater1,Head
430,P01T18,119,Rater2,Head
431,P01T18,119,Rater3,Head
432,P01T18,120,Algorithm,Chest
433,P01T18,120,Rater1,Chest
434,P01T18,120,Rater2,Chest
435,P01T18,120,Rater3,Chest
436,P01T18,121,Algorithm,Chest
437,P01T18,121,Rater1,Chest
438,P01T18,121,Rater2,Chest
439,P01T18,121,Rater3,Chest
440,P01T18,122,Algorithm,Chest
441,P01T18,122,Rater1,Chest
442,P01T18,122,Rater2,Chest
443,P01T18,122,Rater3,Chest
444,P01T18,123,Algorithm,Chest
445,P01T18,123,Rater1,Chest
446,P01T18,123,Rater2,Chest
447,P01T18,123,Rater3,Chest
448,P01T18,124,Algorithm,Chest
449,P01T18,124,Rater1,Chest
450,P01T18,124,Rater2,Chest
451,P01T18,124,Rater3,Chest
452,P01T18,125,Algorithm,Chest
453,P01T18,125,Rater1,Chest
454,P01T18,125,Rater2,Chest
455,P01T18,125,Rater3,Chest
456,P01T18,126,Algorithm,Chest
457,P01T18,126,Rater1,Chest
458,P01T18,126,Rater2,Chest
459,P01T18,126,Rater3,Chest
460,P01T18,127,Algorithm,Chest
461,P01T18,127,Rater1,Chest
462,P01T18,127,Rater2,Chest
463,P01T18,127,Rater3,Chest
464,P01T18,128,Algorithm,Chest
465,P01T18,128,Rater1,Chest
466,P01T18,128,Rater2,Chest
467,P01T18,128,Rater3,Chest
468,P01T18,129,Algorithm,Chest
469,P01T18,129,Rater1,Chest
470,P01T18,129,Rater2,Chest
471,P01T18,129,Rater3,Chest
472,P01T18,130,Algorithm,Chest
473,P01T18,130,Rater1,Chest
474,P01T18,130,Rater2,Chest
475,P01T18,130,Rater3,Chest
476,P01T18,131,Algorithm,Chest
477,P01T18,131,Rater1,Chest
478,P01T18,131,Rater2,Chest
479,P01T18,131,Rater3,Chest
480,P01T18,132,Algorithm,Chest
481,P01T18,132,Rater1,Chest
482,P01T18,132,Rater2,Chest
483,P01T18,132,Rater3,Chest
484,P01T18,133,Algorithm,Chest
485,P01T18,133,Rater1,Chest
486,P01T18,133,Rater2,Chest
487,P01T18,133,Rater3,Chest
488,P01T18,134,Algorithm,Chest
489,P01T18,134,Rater1,Chest
490,P01T18,134,Rater2,Chest
491,P01T18,134,Rater3,Chest
492,P01T18,135,Algorithm,Chest
493,P01T18,135,Rater1,Chest
494,P01T18,135,Rater2,Chest
495,P01T18,135,Rater3,Chest
496,P01T18,136,Algorithm,Chest
497,P01T18,136,Rater1,Chest
498,P01T18,136,Rater2,Chest
499,P01T18,136,Rater3,Chest
500,P01T18,137,Algorithm,Chest
501,P01T18,137,Rater1,Chest
502,P01T18,137,Rater2,Chest
503,P01T18,137,Rater3,Chest
504,P01T18,138,Algorithm,Chest
505,P01T18,138,Rater1,Chest
506,P01T18,138,Rater2,Chest
507,P01T18,138,Rater3,Chest
508,P01T18,139,Algorithm,Chest
509,P01T18,139,Rater1,Chest
510,P01T18,139,Rater2,Chest
511,P01T18,139,Rater3,Chest
512,P01T18,158,Algorithm,Chest
513,P01T18,158,Rater1,Chest
514,P01T18,158,Rater2,Chest
515,P01T18,158,Rater3,Chest
516,P01T18,159,Algorithm,Chest
517,P01T18,159,Rater1,Chest
518,P01T18,159,Rater2,Chest
519,P01T18,159,Rater3,Chest
520,P01T18,160,Algorithm,Chest
521,P01T18,160,Rater1,Chest
522,P01T18,160,Rater2,Chest
523,P01T18,160,Rater3,Chest
524,P01T18,161,Algorithm,Chest
525,P01T18,161,Rater1,Chest
526,P01T18,161,Rater2,Chest
527,P01T18,161,Rater3,Chest
528,P01T18,162,Algorithm,Chest
529,P01T18,162,Rater1,Chest
530,P01T18,162,Rater2,Chest
531,P01T18,162,Rater3,Chest
532,P01T18,163,Algorithm,Chest
533,P01T18,163,Rater1,Chest
534,P01T18,163,Rater2,Chest
535,P01T18,163,Rater3,Chest
536,P01T18,164,Algorithm,Chest
537,P01T18,164,Rater1,Chest
538,P01T18,164,Rater2,Chest
539,P01T18,164,Rater3,Chest
540,P01T18,166,Algorithm,Chest
541,P01T18,166,Rater1,Chest
542,P01T18,166,Rater2,Chest
543,P01T18,166,Rater3,Chest
544,P01T18,167,Algorithm,Chest
545,P01T18,167,Rater1,Chest
546,P01T18,167,Rater2,Chest
547,P01T18,167,Rater3,Chest
548,P02T03,188,Algorithm,Head
549,P02T03,188,Rater1,Head
550,P02T03,188,Rater2,Head
551,P02T03,188,Rater3,Head
552,P02T03,189,Algorithm,Head
553,P02T03,189,Rater1,Head
554,P02T03,189,Rater2,Head
555,P02T03,189,Rater3,Head
556,P02T03,190,Algorithm,Head
557,P02T03,190,Rater1,Head
558,P02T03,190,Rater2,Head
559,P02T03,190,Rater3,Head
560,P02T03,191,Algorithm,Head
561,P02T03,191,Rater1,Head
562,P02T03,191,Rater2,Head
563,P02T03,191,Rater3,Head
564,P02T03,192,Algorithm,Head
565,P02T03,192,Rater1,Head
566,P02T03,192,Rater2,Head
567,P02T03,192,Rater3,Head
568,P02T03,193,Algorithm,Head
569,P02T03,193,Rater1,Head
570,P02T03,193,Rater2,Head
571,P02T03,193,Rater3,Head
572,P02T03,194,Algorithm,Head
573,P02T03,194,Rater1,Head
574,P02T03,194,Rater2,Head
575,P02T03,194,Rater3,Head
576,P02T03,195,Algorithm,Head
577,P02T03,195,Rater1,Head
578,P02T03,195,Rater2,Head
579,P02T03,195,Rater3,Head
580,P02T03,196,Algorithm,Head
581,P02T03,196,Rater1,Head
582,P02T03,196,Rater2,Head
583,P02T03,196,Rater3,Head
584,P02T03,197,Algorithm,Head
585,P02T03,197,Rater1,Head
586,P02T03,197,Rater2,Head
587,P02T03,197,Rater3,Head
588,P02T03,198,Algorithm,Head
589,P02T03,198,Rater1,Head
590,P02T03,198,Rater2,Head
591,P02T03,198,Rater3,Head
592,P02T03,199,Algorithm,Head
593,P02T03,199,Rater1,Head
594,P02T03,199,Rater2,Head
595,P02T03,199,Rater3,Head
596,P02T03,200,Algorithm,Head
597,P02T03,200,Rater1,Head
598,P02T03,200,Rater2,Head
599,P02T03,200,Rater3,Head
600,P02T03,201,Algorithm,Head
601,P02T03,201,Rater1,Head
602,P02T03,201,Rater2,Head
603,P02T03,201,Rater3,Head
604,P02T03,202,Algorithm,Head
605,P02T03,202,Rater1,Head
606,P02T03,202,Rater2,Head
607,P02T03,202,Rater3,Head
608,P02T03,203,Algorithm,Head
609,P02T03,203,Rater1,Head
610,P02T03,203,Rater2,Head
611,P02T03,203,Rater3,Head
612,P02T03,204,Algorithm,Head
613,P02T03,204,Rater1,Head
614,P02T03,204,Rater2,Head
615,P02T03,204,Rater3,Head
616,P02T03,205,Algorithm,Head
617,P02T03,205,Rater1,Head
618,P02T03,205,Rater2,Head
619,P02T03,205,Rater3,Head
620,P02T03,206,Algorithm,Head
621,P02T03,206,Rater1,Head
622,P02T03,206,Rater2,Head
623,P02T03,206,Rater3,Head
624,P02T03,207,Algorithm,Head
625,P02T03,207,Rater1,Head
626,P02T03,207,Rater2,Head
627,P02T03,207,Rater3,Head
628,P02T03,208,Algorithm,Head
629,P02T03,208,Rater1,Head
630,P02T03,208,Rater2,Head
631,P02T03,208,Rater3,Head
632,P02T03,209,Algorithm,Head
633,P02T03,209,Rater1,Head
634,P02T03,209,Rater2,Head
635,P02T03,209,Rater3,Head
636,P02T03,210,Algorithm,Head
637,P02T03,210,Rater1,Head
638,P02T03,210,Rater2,Head
639,P02T03,210,Rater3,Head
640,P02T03,211,Algorithm,Head
641,P02T03,211,Rater1,Head
642,P02T03,211,Rater2,Head
643,P02T03,211,Rater3,Head
644,P02T03,212,Algorithm,Head
645,P02T03,212,Rater1,Head
646,P02T03,212,Rater2,Head
647,P02T03,212,Rater3,Head
648,P02T03,213,Algorithm,Head
649,P02T03,213,Rater1,Head
650,P02T03,213,Rater2,Head
651,P02T03,213,Rater3,Head
652,P02T03,214,Algorithm,Head
653,P02T03,214,Rater1,Head
654,P02T03,214,Rater2,Head
655,P02T03,214,Rater3,Head
656,P02T03,215,Algorithm,Head
657,P02T03,215,Rater1,Head
658,P02T03,215,Rater2,Head
659,P02T03,215,Rater3,Head
660,P02T03,216,Algorithm,Head
661,P02T03,216,Rater1,Head
662,P02T03,216,Rater2,Head
663,P02T03,216,Rater3,Head
664,P02T03,217,Algorithm,Head
665,P02T03,217,Rater1,Head
666,P02T03,217,Rater2,Head
667,P02T03,217,Rater3,Head
668,P02T03,218,Algorithm,Head
669,P02T03,218,Rater1,Head
670,P02T03,218,Rater2,Head
671,P02T03,218,Rater3,Head
672,P02T03,219,Algorithm,Head
673,P02T03,219,Rater1,Head
674,P02T03,219,Rater2,Head
675,P02T03,219,Rater3,Head
676,P02T03,221,Algorithm,Head
677,P02T03,221,Rater1,Head
678,P02T03,221,Rater2,Head
679,P02T03,221,Rater3,Head
680,P02T03,222,Algorithm,Head
681,P02T03,222,Rater1,Head
682,P02T03,222,Rater2,Head
683,P02T03,222,Rater3,Head
684,P02T03,223,Algorithm,Head
685,P02T03,223,Rater1,Head
686,P02T03,223,Rater2,Head
687,P02T03,223,Rater3,Head
688,P02T03,224,Algorithm,Head
689,P02T03,224,Rater1,Head
690,P02T03,224,Rater2,Head
691,P02T03,224,Rater3,Head
692,P02T03,225,Algorithm,Head
693,P02T03,225,Rater1,Head
694,P02T03,225,Rater2,Head
695,P02T03,225,Rater3,Head
696,P02T03,226,Algorithm,Head
697,P02T03,226,Rater1,Head
698,P02T03,226,Rater2,Head
699,P02T03,226,Rater3,Head
700,P02T03,227,Algorithm,Head
701,P02T03,227,Rater1,Head
702,P02T03,227,Rater2,Head
703,P02T03,227,Rater3,Head
704,P02T03,228,Algorithm,Head
705,P02T03,228,Rater1,Head
706,P02T03,228,Rater2,Head
707,P02T03,228,Rater3,Head
708,P02T03,229,Algorithm,Head
709,P02T03,229,Rater1,Head
710,P02T03,229,Rater2,Head
711,P02T03,229,Rater3,Head
712,P02T03,230,Algorithm,Head
713,P02T03,230,Rater1,Head
714,P02T03,230,Rater2,Head
715,P02T03,230,Rater3,Head
716,P02T03,231,Algorithm,Head
717,P02T03,231,Rater1,Head
718,P02T03,231,Rater2,Head
719,P02T03,231,Rater3,Head
720,P02T09,178,Algorithm,Head
721,P02T09,178,Rater1,Head
722,P02T09,178,Rater2,Head
723,P02T09,178,Rater3,Head
724,P02T09,179,Algorithm,Head
725,P02T09,179,Rater1,Head
726,P02T09,179,Rater2,Head
727,P02T09,179,Rater3,Head
728,P02T09,180,Algorithm,Head
729,P02T09,180,Rater1,Head
730,P02T09,180,Rater2,Head
731,P02T09,180,Rater3,Head
732,P02T09,181,Algorithm,Head
733,P02T09,181,Rater1,Head
734,P02T09,181,Rater2,Head
735,P02T09,181,Rater3,Head
736,P02T09,182,Algorithm,Head
737,P02T09,182,Rater1,Head
738,P02T09,182,Rater2,Head
739,P02T09,182,Rater3,Head
740,P02T09,183,Algorithm,Head
741,P02T09,183,Rater1,Head
742,P02T09,183,Rater2,Head
743,P02T09,183,Rater3,Head
744,P02T09,184,Algorithm,Head
745,P02T09,184,Rater1,Head
746,P02T09,184,Rater2,Head
747,P02T09,184,Rater3,Head
748,P02T09,185,Algorithm,Head
749,P02T09,185,Rater1,Head
750,P02T09,185,Rater2,Head
751,P02T09,185,Rater3,Head
752,P02T09,186,Algorithm,Head
753,P02T09,186,Rater1,Head
754,P02T09,186,Rater2,Head
755,P02T09,186,Rater3,Head
756,P02T09,187,Algorithm,Head
757,P02T09,187,Rater1,Head
758,P02T09,187,Rater2,Head
759,P02T09,187,Rater3,Head
760,P02T09,188,Algorithm,Head
761,P02T09,188,Rater1,Head
762,P02T09,188,Rater2,Head
763,P02T09,188,Rater3,Head
764,P02T09,190,Algorithm,Head
765,P02T09,190,Rater1,Head
766,P02T09,190,Rater2,Head
767,P02T09,190,Rater3,Head
768,P02T09,191,Algorithm,Chest
769,P02T09,191,Rater1,Head
770,P02T09,191,Rater2,Head
771,P02T09,191,Rater3,Head
772,P02T09,192,Algorithm,Chest
773,P02T09,192,Rater1,Head
774,P02T09,192,Rater2,Head
775,P02T09,192,Rater3,Head
776,P02T09,193,Algorithm,Chest
777,P02T09,193,Rater1,Head
778,P02T09,193,Rater2,Head
779,P02T09,193,Rater3,Head
780,P02T09,194,Algorithm,Chest
781,P02T09,194,Rater1,Head
